airport_id,airport_code,airport_name,address,city,state,longitude,latitude
12390,ISO, Kinston Regional Jetport at Stallings Field,2780 Jetport Rd,Kinston,NC,-77.60883,35.33144
12391,ISP, Long Island MacArthur,100 Arrivals Ave,Islip (Ronkonkoma),NY,-73.10021,40.79524
12397,ITH, Ithaca Tompkins Regional,72 Brown Rd,Ithaca,NY,-76.45844,42.49103
12402,ITO, Hilo International,1 General Lyman Field,Hilo,HI,-155.04847,19.72026
12412,IWD, Gogebic-Iron County,E5560 Airport Rd,Ironwood,MI,-90.1314,46.52747
12436,IYK, Inyokern Airport,1669 Airport Rd,Inyokern,CA,-117.82951,35.65884
12441,JAC, Jackson Hole,1250 E Airport Rd,Jackson,WY,-110.73775,43.60733
12448,JAN, Jackson Medgar Wiley Evers International,100 Intl Dr,Jackson,MS,-90.07589,32.31117
12451,JAX, Jacksonville International,2800 Yankee Clipper Dr,Jacksonville,FL,-81.68786,30.49406
12455,JBR, Jonesboro Municipal,3900 Lindberg,Jonesboro,AR,-90.64617,35.83186
12478,JFK, John F. Kennedy International,JFK Intl Airport,New York (Jamaica),NY,-73.77893,40.63975
12492,JHM, Kapalua Airport,,Lahaina,HI,-156.67303,20.96294
12494,JHW, Chautauqua County/Jamestown,3163 Airport Dr,Jamestown,NY,-79.25803,42.15339
12511,JLN, Joplin Regional,602 S Main St,Joplin,MO,-94.49827,37.15181
12519,JMS, Jamestown Regional,1600 21st Ave NE,Jamestown,ND,-98.6782,46.92972
12523,JNU, Juneau International,1873 Shell Simmons Dr,Juneau,AK,-134.57628,58.35496
12559,JST, John Murtha Johnstown-Cambria County,479 Airport Rd,Johnstown,PA,-78.83394,40.31611
12610,KAE, Kake Seaplane Base,,Kake,AK,-133.94561,56.973
12615,KAL, Kaltag Airport,,Kaltag,AK,-158.74415,64.32572
12621,KBC, Birch Creek Airport,,Birch Creek,AK,-145.82404,66.274
12633,KCC, Coffman Cove Seaplane Base,,Coffman Cove,AK,-132.84197,56.00324
12635,KCG, Chignik Bay Airport,,Fisheries,AK,-158.59093,56.31783
12638,KCL, Chignik Lagoon Airport,,Chignik Flats,AK,-158.53593,56.31116
12641,KCQ, Chignik Lake,,Chignik,AK,-158.37324,56.31146
12647,KDK, Kodiak Municipal,1467 Airport Way,Kodiak,AK,-152.49386,57.74997
12649,KEB, Nanwalek Airport,,English Bay,AK,-151.92516,59.35215
12653,KEK, Ekwok Airport,,Ekwok,AK,-157.47441,59.35399
12663,KFP, False Pass Airport,,False Pass,AK,-163.41032,54.84745
12671,KGK, Koliganek Airport,,Koliganek,AK,-157.25947,59.72664
12676,KGX, Grayling Airport,,Grayling,AK,-160.0649,62.89456
12704,KKA, Koyuk Alfred Adams,,Koyuk,AK,-161.15815,64.93404
12705,KKB, Kitoi Bay Airport,,Kitoi Bay,AK,-152.37049,58.19095
12708,KKH, Kongiganak Airport,,Kongiganak,AK,-162.88125,59.96081
12709,KKI, Akiachak Airport,3517 Eddie Hoffman Hwy,Akiachak,AK,-161.43508,60.90786
12716,KKU, Ekuk Airport,,Ekuk,AK,-158.55884,58.81119
12719,KLG, Kalskag Airport,,Kalskag,AK,-160.34133,61.53627
12720,KLL, Levelock Airport,,Levelock,AK,-156.86522,59.11816
12728,KLW, Klawock Airport,,Klawock,AK,-133.10169,55.55466
12737,KMO, Manokatak Seaplane Base,,Manokotak,AK,-159.04992,58.9902
12743,KMY, Moser Bay Airport,,Moser Bay,AK,-154.14592,57.02559
12748,KNK, Kokhanok Airport,,Kokhanok,AK,-154.80373,59.43315
12755,KNW, New Stuyahok Airport,,New Stuyahok,AK,-157.32832,59.44988
12758,KOA, Ellison Onizuka Kona International at Keahole,73-100 Kupipi St,Kailua-Kona,HI,-156.04563,19.73877
12769,KOT, Kotlik Airport,,Kotlik,AK,-163.53264,63.03058
12771,KOY, Olga Bay Seaplane Base,,Olga Bay,AK,-154.22979,57.16145
12772,KOZ, Ouzinkie Airport,,Ouzinkie,AK,-152.50051,57.92288
12773,KPB, Point Baker Airport,,Point Baker,AK,-133.62259,56.35186
12774,KPC, Port Clarence CGS,,Port Clarence,AK,-166.85852,65.25366
12779,KPN, Kipnuk Airport,,Kipnuk,AK,-164.03051,59.93295
12782,KPR, Port Williams Airport,,Port Williams,AK,-152.58217,58.49014
12784,KPV, Perryville Airport,,Perryville,AK,-159.15556,55.90083
12785,KPY, Port Bailey Airport,,Port Bailey,AK,-153.04056,57.93011
12786,KQA, Akutan Airport,Seaplane Base,Akutan,AK,-165.78531,54.13247
12807,KSM, St. Mary's Airport,,St Marys,AK,-163.30211,62.06049
12815,KTB, Thorne Bay Seaplane Base,,Thorne Bay,AK,-132.53668,55.68796
12819,KTN, Ketchikan International,1000 Airport Terminal Blg,Ketchikan,AK,-131.71375,55.35556
12831,KUK, Kasigluk Airport,,Kasigluk,AK,-162.52481,60.87202
12841,KVC, King Cove Airport,,King Cove,AK,-162.26623,55.11635
12844,KVL, Kivalina Airport,,Kivalina,AK,-164.5635,67.73615
12847,KWF, Waterfall Seaplane Base,,Waterfall,AK,-133.24334,55.29632
12851,KWK, Kwigillingok Airport,,Kwigillingok,AK,-163.14034,59.83673
12853,KWN, Quinhagak Airport,,Quinhagak,AK,-161.87948,59.75701
12854,KWP, West Point Village,,West Point,AK,-153.54895,57.77011
12855,KWT, Kwethluk Airport,,Kwethluk,AK,-161.44535,60.80425
12857,KXA, Kasaan Seaplane Base,,Kasaan,AK,-132.39751,55.53741
12866,KYK, Karluk Airport,,Karluk,AK,-154.45037,57.56706
12868,KYU, Koyukuk Airport,,Koyuk,AK,-157.72728,64.87608
12869,KZB, Zachar Bay Airport,,Zachar Bay,AK,-153.74534,57.55406
12884,LAN, Capital Region International,4100 Capital City Blvd,Lansing,MI,-84.58736,42.7787
12888,LAR, Laramie Regional,555 General Brees Rd,Laramie,WY,-105.675,41.31206
12889,LAS, McCarran International,5757 Wayne Newton Blvd,Las Vegas,NV,-115.15233,36.08036
12891,LAW, Lawton-Fort Sill Regional,3401 SW 11th St,Lawton,OK,-98.41664,34.56771
12892,LAX, Los Angeles International,1 World Way,Los Angeles,CA,-118.40807,33.94254
12896,LBB, Lubbock Preston Smith International,5401 N Martin Luther King Blvd,Lubbock,TX,-101.82278,33.66364
12898,LBE, Arnold Palmer Regional,148 Aviation Ln,Latrobe,PA,-79.4048,40.27594
12899,LBF, North Platte Regional Airport Lee Bird Field,5400 E Lee Bird Dr,North Platte,NE,-100.68365,41.12621
12902,LBL, Liberal Mid-America Regional,7th & Terminal,Liberal,KS,-100.95986,37.04421
12915,LCH, Lake Charles Regional,300 Airport Service Rd,Lake Charles,LA,-93.2234,30.1261
12932,LEB, Lebanon Municipal,5 Airpark Rd,Lebanon,NH,-72.30419,43.62611
12945,LEX, Blue Grass,4000 Terminal Dr,Lexington,KY,-84.60539,38.03697
12951,LFT, Lafayette Regional Paul Fournet Field,200 Terminal Dr,Lafayette,LA,-91.98766,30.20528
12953,LGA, LaGuardia,Ditmars Blvd & 94th St,New York (Flushing),NY,-73.87261,40.77724
12954,LGB, Long Beach Airport,4100 Donald Douglas Dr,Long Beach,CA,-118.15161,33.81772
12982,LIH, Lihue Airport,3901 Mokulele Loop,Lihue,HI,-159.33896,21.97598
12992,LIT, Bill and Hillary Clinton Nat Adams Field,1 Airport Dr,Little Rock,AR,-92.22431,34.72944
13002,LKE, Lake Union Terminal,950 Westlake Ave N,Seattle,WA,-122.3229,47.65232
13016,LMA, Lake Minchumina Airport,,Minchumina,AK,-152.30068,63.88057
13024,LMT, Crater Lake Klamath Regional,6775 Arnold Ave,Klamath Falls,OR,-121.73321,42.15614
13029,LNK, Lincoln Airport,2400 W Adams,Lincoln,NE,-96.75925,40.85097
13032,LNS, Lancaster Airport,500 Airport Rd,Lancaster (Lititz),PA,-76.2961,40.12172
13034,LNY, Lanai Airport,Lanai City Airport,Lanai City,HI,-156.95142,20.78561
13055,LPS, Lopez Island Airport,Airport Rd,Lopez Island,WA,-122.93684,48.4826
13061,LRD, Laredo International,5210 Bob Bullock Loop,Laredo,TX,-99.46154,27.54374
13109,LUP, Kalaupapa Airport,,Kalaupapa,HI,-156.9736,21.21104
13111,LUR, Cape Lisburne LRRS,,Cape Lisburne,AK,-166.11002,68.87513
13115,LVD, Lime Village Airport,,Lime Village,AK,-155.44048,61.35915
13121,LWB, Greenbrier Valley,Route 219N,Lewisburg,WV,-80.39947,37.85831
13127,LWS, Lewiston Nez Perce County,406 Burnell Ave,Lewiston,ID,-117.01539,46.3745
13128,LWT, Lewistown Municipal,190 Terminal Dr,Lewistown,MT,-109.46669,47.04925
13139,LYH, Lynchburg Regional/Preston Glenn Field,4308 Wards Rd,Lynchburg,VA,-79.20043,37.32669
13158,MAF, Midland International Air and Space Port,9506 Laforce Blvd,Midland,TX,-102.20191,31.94253
13182,MBL, Manistee County-Blacker,2323 Airport Rd,Manistee,MI,-86.24692,44.27242
13184,MBS, MBS International,8500 Garfield Rd,Saginaw (Freeland),MI,-84.07965,43.53291
13194,MCE, Merced Regional/Macready Field,20 Macready Dr,Merced,CA,-120.51389,37.28473
13196,MCG, McGrath Airport,,Mc Grath,AK,-155.60576,62.95287
13198,MCI, Kansas City International,601 Brasilia Ave,Kansas City,MO,-94.71391,39.29761
13200,MCK, McCook Ben Nelson Regional,1100 Airport Rd,Mc Cook,NE,-100.59208,40.20628
13203,MCN, Middle Georgia Regional,1000 Terminal Dr,Macon,GA,-83.64921,32.69285
13204,MCO, Orlando International,1 Airport Blvd,Orlando,FL,-81.31603,28.42889
13211,MCW, Mason City Municipal,Highway 18 W,Mason City,IA,-93.33126,43.15779
13230,MDT, Harrisburg International,208 Airport Dr,Harrisburg (Middletown),PA,-76.7634,40.1935
13232,MDW, Chicago Midway International,5700 S Cicero Ave,Chicago,IL,-87.75242,41.78598
13241,MEI, Key Field,2811 Airport Blvd South,Meridian,MS,-88.75186,32.33264
13244,MEM, Memphis International,2491 Winchester Rd,Memphis,TN,-89.97667,35.04242
13256,MFE, McAllen Miller International,2800 S Bicentennial,Mc Allen,TX,-98.23861,26.17583
13264,MFR, Rogue Valley International - Medford,3650 Biddle Rd,Medford,OR,-122.8735,42.37423
13277,MGM, Montgomery Regional,4445 Selma Hwy,Montgomery,AL,-86.39398,32.30064
13282,MGW, Morgantown Municipal-Walter L. Bill Hart Field,100 Hart Field Rd,Morgantown,WV,-79.91631,39.64291
13290,MHK, Manhattan Regional,5500 Ft Riley Blvd,Manhattan,KS,-96.67083,39.14097
13296,MHT, Manchester-Boston Regional,One Aiport Rd,Manchester,NH,-71.43706,42.93452
13303,MIA, Miami International,Perimeter Rd & NW 20th St,Miami,FL,-80.29056,25.79325
13342,MKE, General Mitchell International,5300 S Howell Ave,Milwaukee,WI,-87.89658,42.94722
13344,MKG, Muskegon County,99 Sinclair Dr,Muskegon,MI,-86.23822,43.16949
13347,MKK, Molokai,,Kaunakakai,HI,-157.09626,21.15289
13348,MKL, McKellar-Sipes Regional,308 Grady Montgomery Dr,Jackson,TN,-88.91562,35.59988
13360,MLB, Melbourne International,1 Air Terminal Pkwy,Melbourne,FL,-80.64526,28.10275
13367,MLI, Quad City International,2200 69th Ave,Moline,IL,-90.50754,41.44853
13369,MLL, Marshall Don Hunter Sr.,,Marshall,AK,-162.06905,61.86592
13375,MLS, Frank Wiley Field,Hgwy 59 N Yellowstone Hill,Miles City,MT,-105.88625,46.42797
13377,MLU, Monroe Regional,5400 Operations Rd,Monroe,LA,-92.03769,32.51087
13381,MLY, Manley Hot Springs Airport,,Manley Hot Springs,AK,-150.64413,64.99756
13415,MNT, Minto Al Wright,,Minto,AK,-149.36996,65.14371
13422,MOB, Mobile Regional,8400 Aiport Blvd,Mobile,AL,-88.24283,30.69142
13424,MOD, Modesto City-County-Harry Sham Field,617 Airport Way,Modesto,CA,-120.95442,37.62582
13433,MOT, Minot International,25 Airport Rd,Minot,ND,-101.28033,48.25938
13434,MOU, Mountain Village Airport,,Mountain Village,AK,-163.68206,62.09536
13439,MPB, Watson Island International,1000 MacArthur Causeway,Miami,FL,-80.17028,25.77833
13459,MQT, Sawyer International,225 G Ave,Marquette (Gwinn),MI,-87.39583,46.35361
